# f1_exp_029_063_PG_1980ER09.dat                                     
#                                                                               
# Z = 29, A = 63                                                              
# No. of entries: 16                                                              
# Col 1: photon energy E in MeV                                                 
# Col 2: bin width dE in MeV                                                    
# Col 3: strength f1 in MeV^-3                                                  
# Col 4: uncertainty df1 in MeV^-3                                              
# Format: 2f10.3, 2e12.3                                                        
# Author: M. Krticka from B. Erlandsson Nuclear Physics A348, 1 (1980)
#    E         dE       f1           df1   
     5.360     0.000   1.260E-08   0.250E-08
     5.390     0.000   1.010E-08   0.200E-08
     5.440     0.000   1.090E-08   0.140E-08                                                                                     
     5.680     0.000   0.990E-08   0.180E-08
     5.810     0.000   0.880E-08   0.180E-08
     5.880     0.000   0.900E-08   0.150E-08
     6.130     0.000   1.320E-08   0.250E-08
     6.140     0.000   0.900E-08   0.170E-08
     6.210     0.000   1.370E-08   0.180E-08
     6.360     0.000   1.320E-08   0.180E-08
     6.670     0.000   1.390E-08   0.180E-08
     6.810     0.000   1.680E-08   0.220E-08
     6.890     0.000   1.990E-08   0.250E-08
     7.260     0.000   2.480E-08   0.320E-08
     7.550     0.000   2.670E-08   0.350E-08
     8.220     0.000   4.340E-08   0.530E-08
