# f1_exp_057_139_NRF_upper.dat                                                  
#                                                                               
# Z = 57, A = 139                                                               
# No. of entries: 36                                                            
# Col  1: photon energy E in MeV                                                
# Col  2: bin width dE in MeV                                                   
# Col  3: upper limit for f1 in MeV^-3 from uncertainty analysis                
# Col  4: uncertainty df1 in MeV^-3                                             
# Format: 2f10.3, 2e12.3                                                        
# Author: R. Schwengner HZDR                                                    
#    E         dE       f1          df1                                         
     5.300     0.100    0.174E-06    0.763E-08
     5.400     0.100    0.184E-06    0.123E-07
     5.500     0.100    0.194E-06    0.178E-07
     5.600     0.100    0.213E-06    0.243E-07
     5.700     0.100    0.210E-06    0.224E-07
     5.800     0.100    0.214E-06    0.231E-07
     5.900     0.100    0.248E-06    0.258E-07
     6.000     0.100    0.272E-06    0.273E-07
     6.100     0.100    0.322E-06    0.277E-07
     6.200     0.100    0.369E-06    0.270E-07
     6.300     0.100    0.473E-06    0.308E-07
     6.400     0.100    0.649E-06    0.364E-07
     6.500     0.100    0.615E-06    0.332E-07
     6.600     0.100    0.520E-06    0.285E-07
     6.700     0.100    0.403E-06    0.226E-07
     6.800     0.100    0.453E-06    0.257E-07
     6.900     0.100    0.377E-06    0.222E-07
     7.000     0.100    0.352E-06    0.205E-07
     7.100     0.100    0.298E-06    0.175E-07
     7.200     0.100    0.256E-06    0.149E-07
     7.300     0.100    0.253E-06    0.159E-07
     7.400     0.100    0.239E-06    0.145E-07
     7.500     0.100    0.228E-06    0.137E-07
     7.600     0.100    0.227E-06    0.142E-07
     7.700     0.100    0.165E-06    0.103E-07
     7.800     0.100    0.152E-06    0.968E-08
     7.900     0.100    0.160E-06    0.101E-07
     8.000     0.100    0.158E-06    0.110E-07
     8.100     0.100    0.134E-06    0.963E-08
     8.200     0.100    0.127E-06    0.967E-08
     8.300     0.100    0.127E-06    0.102E-07
     8.400     0.100    0.115E-06    0.977E-08
     8.500     0.100    0.115E-06    0.102E-07
     8.600     0.100    0.137E-06    0.123E-07
     8.700     0.100    0.108E-06    0.104E-07
     8.800     0.100    0.107E-06    0.107E-07
